bom_no,item,item_name,quantity,uom,is_active,is_default,process_loss_percentage,operations,description
BOM-TP-00011-001,TP-00011,"TÚI NƯỚC GIẶT BABA 3.6KG (PET/MPET/PA/LLDPE-Trong, R280/D380/đáy 140, 230mic, vòi 16)",1000,Túi,1,1,2.5,CAT-TUI,BOM nhap Q23/Q34: 1000 tui BABA 3.6KG tu BTP-00001
BOM-TP-00013-001,TP-00013,"TÚI NƯỚC GIẶT LAMY VÀNG 2KG (PET/MPET/PA/LLDPE, R240/D320/đáy 12, 200mic, vòi 16)",1000,Túi,1,1,2.5,CAT-TUI,BOM nhap Q23/Q34: 1000 tui LAMY Vàng 2KG tu BTP-00006
BOM-TP-00014-001,TP-00014,"TÚI NƯỚC GIẶT LAMY XANH 2KG (PET/MPET/PA/LLDPE, R240/D320/đáy 12, 200mic)",1000,Túi,1,1,2.5,CAT-TUI,BOM nhap Q23/Q34: 1000 tui LAMY Xanh 2KG tu BTP-00006
BOM-TP-00020-001,TP-00020,"TÚI ĐỰNG NƯỚC GIẶT 888 3.2KG HƯƠNG PHẤN THƠM (PET/PA/LLDPE-Sữa, R280/D340/đáy 150, 230mic, vòi 16)",1000,Túi,1,1,2.5,CAT-TUI,BOM nhap Q23/Q34: 1000 tui 888 3.2Kg Hồng tu BTP-00005
BOM-TP-00021-001,TP-00021,"TÚI SỐT PHÔ MAI ECO WIPES (PET/PA/LLDPE-Sữa, R150/D220/đáy 110, 150mic, vòi 10)",1000,Túi,1,1,2.5,CAT-TUI,BOM nhap Q23/Q34: 1000 tui Sốt PM EW tu BTP-00007
BOM-TP-00003-001,TP-00003,"TÚI NƯỚC GIẶT ĐA SẮC 2L (vòi 16mm, R230/D310/đáy 55, dày 220mic, PET/PA/PES)",1000,Túi,1,1,2.5,CAT-TUI,BOM nhap Q23/Q34: 1000 tui ĐA SẮC 2L tu BTP-00005
