name,customer_name,alias,customer_type,customer_group,territory,payment_terms,default_currency,tax_id,primary_address,customer_primary_contact,disabled
KH-00278,Công ty TNHH SẢN XUẤT VÀ THƯƠNG MẠI  DỊCH VỤ VALI VIỆT NAM,Softessence,Company,,Việt Nam,,VND,,"Thôn Thái Đường, Xã Hiền Ninh, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam",,0
KH-00279,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ SOHANA NAM SƠN,SOHA,Company,,Việt Nam,,VND,,"Thôn Lôi Cầu, Xã Việt Tiến, Tỉnh Hưng Yên, Việt Nam",,0
KH-00280,CÔNG TY TNHH HÓA MỸ PHẨM SUNFIX,SUNFIX,Company,,Việt Nam,,VND,,"Số 966 Âp Trung 3, Xã Phú Tân ,Tỉnh An Giang",,0
KH-00281,CÔNG TY TNHH TM-DV HÓA MỸ PHẨM LÂM GIA,SUPERCLEAN,Company,,Việt Nam,,VND,,"245/129 Lãnh Binh Thăng, P12, Quận 11, Thành phố Hồ Chí Minh.",,0
KH-00282,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TÂM TÚ LUX,SURYMON,Company,,Việt Nam,,VND,,"Tổ 33, Ấp Xà Bang 1, Xã Xã Bang, Huyện Châu Đức, Tỉnh Bà Rịa, Vũng Tàu",,0
KH-00283,Công ty TNHH Sản Xuất Nam Việt,SX NAM VIET,Company,,Việt Nam,,VND,,"60/5B Xuân Thới Sơn, TPHCM",,0
KH-00284,CÔNG TY TNHH CÔNG NGHỆ XANH T2T,T2T,Company,,Việt Nam,,VND,2803219628,"Lô 04, Khu D, KCN Đình Hương - Tây Bắc Ga (GĐ 2), Phường Hàm Rồng, Thanh Hóa",,0
KH-00285,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TACY,TACY,Company,,Việt Nam,,VND,5000901356,"Thôn Cầu Xi, Xã Sơn Thủy, Tuyên Quang",,0
KH-00286,CÔNG TY TNHH TM-DV THANH TẠO PHÁT,TAO PHAT,Company,,Việt Nam,,VND,3703229776,"35 đường số 2, KDC Hiệp Thành 2, Phường Thủ Dầu Một, TP Hồ Chí Minh",,0
KH-00287,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ TỔNG HỢP THÁI DƯƠNG,THAI DUONG,Company,,Việt Nam,,VND,0318487314,"283/14 Dương Đình Hội, Phường Tăng Nhơn Phú, TP Hồ Chí Minh",,0
KH-00288,CÔNG TY TNHH XUẤT NHẬP KHẨU THAILAN GREEN,THAILANGREEN,Company,,Việt Nam,,VND,0316805307,"Số 21/112 Đường TCH36, Khu Phố 6, Phường Trung Mỹ Tây, TP Hồ Chí Minh",,0
KH-00289,CÔNG TY TNHH SX VÀ TMDV THÀNH TRUNG,THANH TRUNG,Company,,Việt Nam,,VND,1102167698,"491 Châu Thị Kim, Phường Tân An, Tây Ninh",,0
KH-00290,CHỊ THANH VÂN,THANHVAN,Individual,,Việt Nam,,VND,,Ấp Rừng Sến. Mỹ Hạnh Bắc. Đức Hòa Long An,,0
KH-00291,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - XUẤT NHẬP KHẨU GIA HỶ,THEGOODWIFE,Company,,Việt Nam,,VND,0307552579,"Tầng 12 - Tháp A2, Tòa nhà Viettel, 285 Cách Mạng Tháng Tám, Phường Hòa Hưng, TP Hồ Chí Minh",,0
KH-00292,CÔNG TY TNHH SX VÀ THƯƠNG MẠI THẾ THÀNH,THE THANH,Company,,Việt Nam,,VND,2301403662,"Thôn Cao Đình, Xã Đại Đồng, Bắc Ninh",,0
KH-00293,Chị Tú,THIENNHIEN,Individual,,Việt Nam,,VND,,"Thôn Năng An, Xã Ân Tín, Huyện Hoài Ân, Tỉnh Bình Định",,0
KH-00294,CÔNG TY TNHH SẢN XUẤT & THƯƠNG MẠI THỊNH ANH,THINH ANH,Company,,Việt Nam,,VND,,khu đất DV Trường Thi - Ninh Bình - Việt Nam,,0
KH-00295,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT DŨNG TIẾN PHÁT,TIENPHAT,Company,,Việt Nam,,VND,3603575370,"Số 96J/6, khu phố 6, Phường Long Bình, TP Đồng Nai",,0
KH-00296,CÔNG TY TNHH ĐT SX TM HUY HOÀNG,TM HUY HOANG,Company,,Việt Nam,,VND,3603914312,"174 đường Thân Nhân Trung, Phường Trảng Dài, TP Đồng Nai",,0
KH-00297,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÂM ANH HÀ NỘI,TOMY GOLD NIE,Company,,Việt Nam,,VND,,"số 4/1/110 Phú Viễn, Tổ 25, Phường Bồ Đề, Thành phố Hà Nội",,0
KH-00298,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI TRANG UYÊN,TRANGUYEN,Company,,Việt Nam,,VND,4300816163,"Hẻm 1069/8 Quang Trung, tổ 8, Phường Cẩm Thành, Quảng Ngãi",,0
KH-00299,CÔNG TY TNHH SẢN PHẨM GIA DỤNG THANH CHI,Trần Quân,Company,,Việt Nam,,VND,,"Thửa đất số 445, tờ bản đồ số 14, ấp Thanh Bình, Xã Châu Thành, Tỉnh Tây Ninh, Việt Nam",,0
KH-00300,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRƯỜNG AN,TRUONG AN,Company,,Việt Nam,,VND,0101989446,"Số 8/31, tổ 13, Phường Long Biên, Quận Long Biên, Hà Nội",,0
KH-00301,HỘ KINH DOANH TẠP HÓA - TRƯỜNG GIANG,TRUONGGIANG,Individual,,Việt Nam,,VND,8082908958-001,"Huyện Châu Đức, Xã Châu Đức, TP Hồ Chí Minh",,0
KH-00302,Công ty TNHH TM & SX TUẤN PHÁT HC,TUAN PHAT HC,Company,,Việt Nam,,VND,,Hồng Cầu - Lạc Hồng - Văn Lâm - Hưng Yên,,0
KH-00303,Công ty TNHH Sản xuất thương mại hóa phẩm Tuấn Tú - AKIKCO,TUAN TU,Company,,Việt Nam,,VND,,"Xóm Gốc Vối, Xã Cao Ngạn, TP. Thái Nguyễn, Tỉnh Thái Nguyên",,0
KH-00304,Mr. Sreang,TUI PE SREANG,Company,,Cambodia,,VND,,"Phnom Penh, Cambodia",,0
KH-00305,Hộ kinh doanh trần thanh quỳnh,TUITRON HOANGGIANG,Individual,,Việt Nam,,VND,,3 đường 1c P bình hưng hoà a bình tân,,0
KH-00306,HỘ KINH DOANH HỘ KD TUKA,TUKA,Individual,,Việt Nam,,VND,1101970302,"Âp 3 ,Xã Tân Lân , Tỉnh Tây Ninh",,0
KH-00307,CÔNG TY TNHH TRẦN GIA PHÁT TVCO,TVCO,Company,,Việt Nam,,VND,0111119522,"Số Nhà 38, Xóm Trung Việt, Thôn Bãi, Xã Bình Minh, TP Hà Nội",,0
KH-00308,"CÔNG TY TNHH GIẢI PHÁP, SẢN XUẤT, THƯƠNG MẠI, XUẤT NHẬP KHẨU UNRIVA",UNRIVA,Company,,Việt Nam,,VND,0110862661,"Khu Phố Mới, Thôn Hòa Loan, Xã Vĩnh Thành, Phú Thọ",,0
KH-00309,CÔNG TY CỔ PHẦN BỆNH VIỆN VẠN AN,VANAN,Company,,Việt Nam,,VND,1101220980,"198 KDC Mai Thị Non, đường Nguyễn Hữu Thọ, Xã Bến Lức, Tây Ninh",,0
KH-00310,CÔNG TY TNHH SẢN XUẤT TM&DV VCOS,VCOS,Company,,Việt Nam,,VND,,"số 116, Đường Thới An 13, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh",,0
KH-00311,CÔNG TY CỔ PHẦN MỸ PHẨM VIETNATURAL,VICEN,Company,,Việt Nam,,VND,,"730/12 Hương Lộ 2, Phường Bình Trị Đông, TP. Hồ Chí Minh",,0
KH-00312,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU VIỆT NAM ANH,VIETNAMANH,Company,,Việt Nam,,VND,0111109210,"Xóm 3 Thôn Dư Xá, Xã Hòa Xá, TP Hà Nội",,0
KH-00313,CÔNG TY CP ĐÀU TƯ LIÊN DOANH SX HÓA MỸ PHẨM  VIỆT NHẬT,VIET NHAT,Company,,Việt Nam,,VND,,"Số 2 ngõ 250/8 phố Tân Mai, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",,0
KH-00314,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ SẢN XUẤT HOÁ MỸ PHẨM VIỆT NHẬT PRO,VIET NHAT PRO,Company,,Việt Nam,,VND,0111277776,"Lô A5 - Khu Công Nghiệp Phú Nghĩa, Xã Phú Nghĩa, TP Hà Nội",,0
KH-00315,CÔNG TY TNHH PHÁT TRIỂN DỊCH VỤ THƯƠNG MẠI VÀ SẢN XUẤT VIỆT THƯƠNG,VIET THUONG,Company,,Việt Nam,,VND,0108728919,"Thôn Diềm Xá, Xã Dương Hòa, TP Hà Nội",,0
KH-00316,CÔNG TY TNHH HÓA MỸ PHẨM VIO,VIO,Company,,Việt Nam,,VND,,"Số 70 thôn Kim Ốc, xã Xuân Hòa, huyện Thọ Xuân, tỉnh Thanh Hóa",,0
KH-00317,CÔNG TY TNHH VIRIVA,VIRIVA,Company,,Việt Nam,,VND,0318087330,"3/6/7 Đường 49, Khu phố 14, Phường Hiệp Bình, TP Hồ Chí Minh",,0
KH-00318,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT VIZEN VIỆT NAM,VIZEN,Company,,Việt Nam,,VND,,"Số 3/274 Đường Thành Tô , Phường Hải An , Tp Hải Phòng",,0
KH-00319,CÔNG TY CP QUỐC TẾ VMT GROUP,VMTGROUP,Company,,Việt Nam,,VND,,"81 Đường Thanh Niên, Phường Yên Bái ,Thành Phố Lào Cai",,0
KH-00320,CÔNG TY CP ĐẦU TƯ VN MART,VNMART,Company,,Việt Nam,,VND,,"Thửa đất số 313, khu phố 5, Xã Yên Khánh, Tỉnh Ninh Bình",,0
KH-00321,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI DỊCH VỤ NGUYỄN AN AG,WIN,Company,,Việt Nam,,VND,,"Số 692 đường Bùi Văn Danh, Phường Long Xuyên, Tỉnh An Giang, Việt Nam",,0
KH-00322,CÔNG TY TNHH TRUNG TÂM NGHIÊN CỨU VÀ PHÁT TRIỂN CÔNG NGHỆ XANH TLT,XANH TLT,Company,,Việt Nam,,VND,2803210632,"Lô KH1, KCN Đình Hương Tây Bắc Ga, Phường Hạc Thành, Thanh Hóa",,0
KH-00323,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XNK YẾN HƯƠNG XƯA,YENHUONGXUA,Company,,Việt Nam,,VND,4202032315,"80 Trần Văn Quang, Phường Nha Trang, Tỉnh Khánh Hòa",,0
KH-00324,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU ANH DUY,ZINSIN,Company,,Việt Nam,,VND,,"Ấp Phú Bình, Xã Mỹ Thành, Tỉnh Đồng Tháp Việt Nam",,0
KH-00325,CÔNG TY TNHH ZYLAND,ZYLAND,Company,,Việt Nam,,VND,,"23/4A, Tổ 9, Ấp 1, Xã Xuân Thới Thượng, Huyện Hóc Môn, TP.HCM",,0
KH-00326,CÔNG TY TNHH MTV SX TM XNK ANH PHÁT,ANH PHAT,Company,,Việt Nam,,VND,,,,0
KH-00327,CÔNG TY TNHH CÔNG NGHỆ VẬT LIỆU TIÊN PHONG VIETCOAT,VIETCOAT,Company,,Việt Nam,,VND,1801833206,"107/79, Quốc Lộ 1A, Khu Vực 2, Phường Cái Răng, TP. Cần Thơ",MS Ben Ry,0
KH-00328,CÔNG TY CỔ PHẦN ECO WIPES VIỆT NAM,ECO WIPES,Company,,Việt Nam,,VND,315110990,"2687/1A Quốc Lộ 1A, Phường An Phú Đông, TP. Hồ Chí Minh",Ms. Như,0
KH-00329,CÔNG TY TNHH SẢN XUẤT - XUẤT NHẬP KHẨU AMYCO,AMYCO,Company,,Việt Nam,,VND,,,,0
