name,customer_name,alias,customer_type,customer_group,territory,payment_terms,default_currency,tax_id,primary_address,customer_primary_contact,disabled
KH-00182,CÔNG TY TNHH HÓA MỸ PHẨM MAMA,HÓA MỸ Phẩm MAMA,Company,,Việt Nam,,VND,,"Yên Tàng, Bắc Phú, Sóc Sơn, Hà Nội",,0
KH-00183,Công ty Shark,Shark,Company,,Việt Nam,,VND,,,,0
KH-00184,CÔNG TY CỔ PHẦN DS COSMETIC,DS COSMETIC,Company,,Việt Nam,,VND,3703187371,"Số 11A, đường Lê Văn Tách, khu phố Bình Đường 1, Phường An Bình, Thành phố Dĩ An, Bình Dương",,0
KH-00185,CÔNG TY TNHH MTV TM DV THIÊN PHÚ VN,Thiên PHÚ VN,Company,,Việt Nam,,VND,,"21/1 Nguyễn Thị Tiểu, Ấp 3, X. Xuân Thới Thượng, Hóc Môn",,0
KH-00186,Cơ sở sản xuất chất tẩy rửa Supper one,Chất Tẩy Rửa Supper One,Individual,,Việt Nam,,VND,,"Xã An Viễn, Huyện TRảng Bom, Tỉnh Đồng Nai",,0
KH-00187,Công ty TNHH Tâm Thịnh Phát - SBI,Tâm Thịnh Phát SBI,Company,,Việt Nam,,VND,,"Số nhà 11 ngõ năm thôn Phương nhị xã hồng dương, huyện thanh oai, hà nội",,0
KH-00188,Anh Tân,Anh Tân,Individual,,Việt Nam,,VND,,D12/345 tổ 12 ấp 4 Tân nhựt bình Chánh,,0
KH-00189,Công ty TNHH Sản xuất và thương mại Thuận Thảo JQT-COTIS,Mại Thuận Thảo JQT COTIS,Company,,Việt Nam,,VND,,"368 Lê Quý Đôn, Phường Tân Thiện, TP. Đồng Xoài, Bình Phước",,0
KH-00190,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM PHƯƠNG NAM TIẾN,Thực Phẩm Phương NAM Tiến,Company,,Việt Nam,,VND,,Thôn đông Thạnh. Xã Tam hòa. Huyện núi thành tỉnh quảng nam,,0
KH-00191,CƠ SỞ SẢN XUẤT PHƯƠNG NAM,CƠ SỞ SẢN Xuất Phương NAM,Individual,,Việt Nam,,VND,,Xóm 7 xã diễn yên huyện Diễn Châu tỉnh Nghệ An,,0
KH-00192,Công ty TNHH Trà & Cà Phê Việt Nam,Trà & Cà Phê Việt Nam,Company,,Việt Nam,,VND,,"Thôn An Ninh, Xã Diên An, Huyện Diên Khánh, Khánh Hòa",,0
KH-00193,Cty TNHH SX TM Bao Bì Nhựa Tuệ Nhi,Bao Bì Nhựa Tuệ Nhi,Company,,Việt Nam,,VND,,Tân Bình,,0
KH-00194,CÔNG TY TNHH MTV TÚ HẰNG,TÚ Hằng,Company,,Việt Nam,,VND,,"Tổ 1, khu 5B, Phường Vàng Danh, TP.Uông Bí, T. Quảng Ninh",,0
KH-00196,CÔNG TY CP TMDV MAGIC HAIR,MAGIC HAIR,Company,,Việt Nam,,VND,,"Số 137 Ngõ 663 Trương Định, Hoàng Mai, Hà Nội",,0
KH-00197,Công ty TNHH Mỹ Phẩm Thần Vũ,Mỹ Phẩm Thần Vũ,Company,,Việt Nam,,VND,,"Đội 4, thôn Đồng Nanh ,Xã Tiên Phương ,Huyện Chương Mỹ ,Thành phố Hà Nội ,Việt Nam",,0
KH-00198,Công ty TNHH ACOMACO,ACOMACO,Company,,Việt Nam,,VND,,"Số 94 Xóm Thanh Bình , Xã Thanh Cao, Huyện Thanh Oai ,Tp Hà Nội ,VN",,0
KH-00199,Hộ kinh doanh cửa hàng tự chọn SHANNIKA,Cửa Hàng Tự Chọn SHANNIKA,Individual,,Việt Nam,,VND,,"E7/30D Võ Hữu Lợi, Ấp 5, X. Lê Minh Xuân, Bình Chánh",,0
KH-00200,CÔNG TY TNHH SẢN XUẤT TM&DV VCOS,VCOS,Company,,Việt Nam,,VND,,"số 116, Đường Thới An 13, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh",,1
KH-00201,Ve chai,VE CHAI,Company,,Việt Nam,,VND,,,,1
KH-00202,Chị Vũ Lê,Chị Vũ Lê,Individual,,Việt Nam,,VND,,"595 Nguyễn Kiệm, Phường 9, Phú Nhuận, TP.HCM",,0
KH-00203,CÔNG TY TNHH VINAHE,VINAHE,Company,,Việt Nam,,VND,3801174388,"Số 142, đường Nguyễn Tất Thành, Khu phố Phước Trung, Phường Phước Bình, Thị xã Phước Long, Bình Phước",,0
KH-00204,Công Ty TNHH Hoá Phẩm Tổng Hợp Hải Đăng,Phẩm Tổng Hợp Hải Đăng,Company,,Việt Nam,,VND,,Tân Hương- Ninh Giang- Hải Dương,,0
KH-00205,Công ty cổ phần Liko Việt Nam - Zenio,Liko Việt Nam Zenio,Company,,Việt Nam,,VND,,"số 40, đường Đồng La, thôn Đồng Nhân, xã Đông La, Huyện Hoài Đức, Hà Nội",,0
KH-00206,CÔNG TY TNHH MTV SINH HỌC ZINTA,SINH HỌC ZINTA,Company,,Việt Nam,,VND,,"248/1 Đường Hùng Vương, TT Buôn Trấp Krông, Ana, Daklak",,0
