bom_no,item_code,item_name,qty,uom,scrap_pct,note
BOM-TP-00025-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00025-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00026-001,BTP-00001,Cuộn 888 - Phấn Thơm,307.5,m,2.5,Bước cắt dao 300.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00026-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00026-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00027-001,BTP-00001,Cuộn 888 - Phấn Thơm,246.0,m,2.5,Bước cắt dao 240.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00027-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00027-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00028-001,BTP-00001,Cuộn 888 - Phấn Thơm,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00028-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00028-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-TP-00029-001,BTP-00001,Cuộn 888 - Phấn Thơm,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-TP-00029-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-TP-00029-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
