item_code,item_name,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location
TRUC-WAX500G,Bộ trục in ống đồng Hạt Sáp Wax,Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,,700.0,546.0,0,Kho VẠN PHÁT
TRUC-G614772,Bộ trục in ống đồng Nem Hoàng Tú (G614772),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G614772,805.0,575.0,0,Kho VẠN PHÁT
TRUC-G612128,Bộ trục in ống đồng Chả Lụa Hoàng (G612128),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G612128,750.0,525.0,0,Kho VẠN PHÁT
TRUC-Z433493,Bộ trục in ống đồng Chả Lụa Hoàng (Z433493),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z433493,650.0,501.0,0,Kho VẠN PHÁT
TRUC-Z416845,Bộ trục in ống đồng Hạt Điều Cashew (Z416845),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z416845,800.0,444.0,0,Kho VẠN PHÁT
TRUC-G125806G2,Bộ trục in ống đồng Phân Bón Guller (G125806G2),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G125806G2,1060.0,420.0,0,Kho VẠN PHÁT
TRUC-G612508,Bộ trục in ống đồng Nem Hoàng Tú (G612508),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G612508,805.0,575.0,0,Kho VẠN PHÁT
TRUC-Z417577,Bộ trục in ống đồng Mồi Câu T5-Mồi (Z417577),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z417577,750.0,440.0,0,Kho VẠN PHÁT
TRUC-Z418260,Bộ trục in ống đồng Dinh Dưỡng Ăn (Z418260),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z418260,800.0,420.0,0,Kho VẠN PHÁT
TRUC-Z418425,Bộ trục in ống đồng Kem Hương Vị (Z418425),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z418425,750.0,440.0,0,Kho VẠN PHÁT
TRUC-Z435082,Bộ trục in ống đồng Kem Hoa Vàng (Z435082),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z435082,650.0,570.0,0,Kho VẠN PHÁT
TRUC-G652829,Bộ trục in ống đồng Hạt Đậu Dinh (G652829),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G652829,650.0,480.0,0,Kho VẠN PHÁT
TRUC-G493102,Bộ trục in ống đồng Bột Ớt 500G (G493102),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G493102,700.0,570.0,0,Kho VẠN PHÁT
TRUC-Z437240,Bộ trục in ống đồng Cà Phê Nấm (Z437240),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z437240,700.0,450.0,0,Kho VẠN PHÁT
TRUC-Z433450,Bộ trục in ống đồng Màng Bột Ngọt (Z433450),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z433450,700.0,430.0,0,Kho VẠN PHÁT
TRUC-Z433451,Bộ trục in ống đồng Màng Bột Ngọt (Z433451),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z433451,650.0,435.0,0,Kho VẠN PHÁT
TRUC-Z433306,Bộ trục in ống đồng Thiết Bị Nhựa (Z433306),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z433306,650.0,448.0,0,Kho VẠN PHÁT
TRUC-Z433449,Bộ trục in ống đồng Màng Bột Ngọt (Z433449),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z433449,650.0,500.0,0,Kho VẠN PHÁT
TRUC-Z416639,Bộ trục in ống đồng Bánh Mì Sanwich (Z416639),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z416639,1050.0,490.0,0,Kho VẠN PHÁT
TRUC-G4006649,Bộ trục in ống đồng Passion 3.2Kg Hương (G4006649),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006649,800.0,564.0,0,Kho KIẾN TÂM
TRUC-G4006653,Bộ trục in ống đồng Passion 3.2Kg Hương (G4006653),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006653,800.0,564.0,0,Kho KIẾN TÂM
TRUC-G4012674,Bộ trục in ống đồng Bọc Thực Phẩm (G4012674),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4012674,750.0,730.0,0,Kho KIẾN TÂM
TRUC-S515739,Bộ trục in ống đồng Xốt Phô Mai (S515739),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,S515739,750.0,456.0,0,Kho KIẾN TÂM
TRUC-G4014162,Bộ trục in ống đồng Nui Thiên Long (G4014162),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4014162,800.0,520.0,0,Kho TRANG TÍN
TRUC-G630618,Bộ trục in ống đồng Cồi Sò Điệp (G630618),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630618,800.0,460.0,0,Kho TRANG TÍN
TRUC-KEM-DUANON,Bộ trục in ống đồng MàNg Kem Hoa,Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,,650.0,570.0,0,Kho TRANG TÍN
TRUC-G4014589,Bộ trục in ống đồng Hồng Loan 2.5L (G4014589),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4014589,850.0,504.0,0,Kho VẠN PHÁT
TRUC-G4015277,Bộ trục in ống đồng Topgia Huyền Diệu (G4015277),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4015277,820.0,464.0,0,Kho VẠN PHÁT
TRUC-G4015340,Bộ trục in ống đồng Topgia Đắm Say (G4015340),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4015340,750.0,404.0,0,Kho KIẾN TÂM
TRUC-G4016016,Bộ trục in ống đồng The Good Wife (G4016016),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4016016,750.0,564.0,0,Kho KIẾN TÂM
TRUC-G4016051,Bộ trục in ống đồng Cô Út 3.2Kg (G4016051),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4016051,750.0,564.0,0,Kho KIẾN TÂM
TRUC-G4007070,Bộ trục in ống đồng Premium Gold 3L (G4007070),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4007070,900.0,568.0,0,Kho TRANG TÍN
TRUC-G4016395,Bộ trục in ống đồng Mẹ Chọn 3.2Kg (G4016395),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4016395,640.0,540.0,0,Kho KIẾN TÂM
TRUC-G4016394,Bộ trục in ống đồng Mẹ Chọn 3.2Kg (G4016394),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4016394,820.0,564.0,0,Kho KIẾN TÂM
TRUC-G4016428,Bộ trục in ống đồng Hồ Tiêu Nhật (G4016428),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4016428,820.0,564.0,0,Kho KIẾN TÂM
TRUC-G4006662,Bộ trục in ống đồng Mimo 1L - (G4006662),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006662,750.0,588.0,0,Kho VẠN PHÁT
TRUC-G4010678,Bộ trục in ống đồng Good Care 3.2Kg (G4010678),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4010678,750.0,564.0,0,Kho VẠN PHÁT
TRUC-G4044368,Bộ trục in ống đồng Aha 3Kg - (G4044368),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4044368,900.0,526.0,0,Kho TRANG TÍN
TRUC-G4005957,Bộ trục in ống đồng Xốt Ướp Nướng (G4005957),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005957,750.0,475.0,0,Kho VẠN PHÁT
TRUC-G4005954,Bộ trục in ống đồng Xốt Ướp Nướng (G4005954),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005954,750.0,475.0,0,Kho TRANG TÍN
TRUC-G4005956,Bộ trục in ống đồng Xốt Ướp Nướng (G4005956),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005956,750.0,475.0,0,Kho VẠN PHÁT
TRUC-G4005955,Bộ trục in ống đồng Xốt Kho Thịt (G4005955),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005955,750.0,475.0,0,Kho TRANG TÍN
TRUC-G4005953,Bộ trục in ống đồng Xốt Kho Cá (G4005953),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005953,750.0,475.0,0,Kho TRANG TÍN
TRUC-G4005948,Bộ trục in ống đồng Gia Vị Phở (G4005948),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005948,750.0,400.0,0,Kho VẠN PHÁT
TRUC-G4005949,Bộ trục in ống đồng Gia Vị Bò (G4005949),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005949,750.0,400.0,0,Kho VẠN PHÁT
TRUC-G4005950,Bộ trục in ống đồng Gia Vị Bún (G4005950),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005950,750.0,400.0,0,Kho VẠN PHÁT
TRUC-G4005960,Bộ trục in ống đồng Gia Vị Lẩu (G4005960),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005960,880.0,480.0,0,Kho TRANG TÍN
TRUC-G4005959,Bộ trục in ống đồng Gia Vị Lẩu (G4005959),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005959,880.0,480.0,0,Kho VẠN PHÁT
TRUC-G4005958,Bộ trục in ống đồng Gia Vị Lẩu (G4005958),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005958,880.0,480.0,0,Kho VẠN PHÁT
TRUC-G4012180,Bộ trục in ống đồng Hạt Nêm Nền (G4012180),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4012180,750.0,568.0,0,Kho TRANG TÍN
TRUC-G4010974,Bộ trục in ống đồng Bánh Hạt Điều (G4010974),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4010974,750.0,524.0,0,Kho TRANG TÍN
TRUC-G4010966,Bộ trục in ống đồng Bánh Hạt Điều (G4010966),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4010966,750.0,498.0,0,Kho TRANG TÍN
TRUC-G4010871,Bộ trục in ống đồng Cuộn Bánh Hạt (G4010871),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4010871,750.0,500.0,0,Kho TRANG TÍN
TRUC-G4010794,Bộ trục in ống đồng Cuộn Kem Hương (G4010794),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4010794,750.0,440.0,0,Kho TRANG TÍN
TRUC-Z418225,Bộ trục in ống đồng Ngx Ko Tên (Z418225),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z418225,900.0,568.0,0,Kho TUỆ NHI
TRUC-Z418262,Bộ trục in ống đồng Ngx Ko Tên (Z418262),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z418262,900.0,568.0,0,Kho TUỆ NHI
TRUC-Z418086,Bộ trục in ống đồng Chả Ram Tôm (Z418086),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z418086,750.0,580.0,0,Kho VẠN PHÁT
TRUC-G629036,Bộ trục in ống đồng Cà Phê Lâm (G629036),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G629036,900.0,600.0,0,Kho VẠN PHÁT
TRUC-G631656,Bộ trục in ống đồng Viên Súp Hải (G631656),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G631656,900.0,600.0,0,Kho VẠN PHÁT
TRUC-G631662,Bộ trục in ống đồng Viên Súp Hải (G631662),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G631662,900.0,600.0,0,Kho VẠN PHÁT
TRUC-G4005609,Bộ trục in ống đồng Paris 1Kg (G4005609),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005609,392.0,500.0,0,Kho VẠN PHÁT
TRUC-SB02240264,Bộ trục in ống đồng Chuối (SB02240264),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,SB02240264,670.0,470.0,0,Kho VẠN PHÁT
TRUC-G626324,Bộ trục in ống đồng Cuộn Cà Phê (G626324),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G626324,900.0,450.0,0,Kho VẠN PHÁT
TRUC-G629613,Bộ trục in ống đồng Cơm Chiên (G629613),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G629613,900.0,510.0,0,Kho VẠN PHÁT
TRUC-Z416612,Bộ trục in ống đồng Nước Cốt Hủ (Z416612),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z416612,750.0,480.0,0,Kho VẠN PHÁT
TRUC-Z418465,Bộ trục in ống đồng Aha 3Kg - (Z418465),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z418465,800.0,526.0,0,Kho VẠN PHÁT
TRUC-Z433912,Bộ trục in ống đồng Mì Quảng Khô (Z433912),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z433912,750.0,500.0,0,Kho VẠN PHÁT
TRUC-G625648,Bộ trục in ống đồng Cà Phê Muối (G625648),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G625648,800.0,550.0,0,Kho VẠN PHÁT
TRUC-G631570,Bộ trục in ống đồng Mồi Câu T5-Cá (G631570),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G631570,800.0,480.0,0,Kho VẠN PHÁT
TRUC-Z433914,Bộ trục in ống đồng Bánh Tráng Cuốn (Z433914),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z433914,700.0,520.0,0,Kho VẠN PHÁT
TRUC-Z418580,Bộ trục in ống đồng Hpro (Z418580),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z418580,900.0,546.0,0,Kho VẠN PHÁT
TRUC-P96149,Bộ trục in ống đồng Kem Apilo ( (P96149),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,P96149,650.0,440.0,0,Kho VẠN PHÁT
TRUC-Z416634,Bộ trục in ống đồng Nước Cốt Bò (Z416634),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z416634,750.0,480.0,0,Kho VẠN PHÁT
TRUC-G628405,Bộ trục in ống đồng Lyla Eats (G628405),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G628405,800.0,435.0,0,Kho VẠN PHÁT
TRUC-G628206,Bộ trục in ống đồng Màng Tiêu Đại (G628206),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G628206,800.0,500.0,0,Kho VẠN PHÁT
TRUC-G4004063,Bộ trục in ống đồng Không Tên 2L (G4004063),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4004063,850.0,486.0,0,Kho VẠN PHÁT
TRUC-G4004064,Bộ trục in ống đồng Không Tên 2L (G4004064),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4004064,850.0,486.0,0,Kho VẠN PHÁT
TRUC-G4013050,Bộ trục in ống đồng Nước Giặt Futa (G4013050),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4013050,900.0,544.0,0,Kho TRANG TÍN
TRUC-G1005432,Bộ trục in ống đồng Kem Hoa Vàng (G1005432),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G1005432,750.0,570.0,0,Kho TRANG TÍN
TRUC-G4014585,Bộ trục in ống đồng Chakari - Louis (G4014585),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4014585,850.0,846.0,0,Kho TRANG TÍN
TRUC-G628218,Bộ trục in ống đồng Hạt Chia (G628218),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G628218,0,0,0,Kho TRANG TÍN
TRUC-LUCKYSTAR,Bộ trục in ống đồng Lucky Star,Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,,0,0,0,Kho VẠN PHÁT
TRUC-G3000042,Bộ trục in ống đồng Thức Ăn Chó (G3000042),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G3000042,800.0,720.0,0,Kho VẠN PHÁT
TRUC-E180920,Bộ trục in ống đồng Thức Ăn Chó (E180920),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,E180920,860.0,486.0,0,Kho TRANG TÍN
TRUC-G496512G8,Bộ trục in ống đồng Cây Đàn (G496512G8),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G496512G8,300.0,485.0,0,Kho TUỆ NHI
TRUC-SUPERGEO,Bộ trục in ống đồng Supergeo 5L,Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,TRUC-SUPERGEO,800,564,6,Kho Vạn Phát
TRUC-BABA,Bộ trục in ống đồng BABA 3.6Kg,Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,TRUC-BABA,800,564,8,Kho Vạn Phát
TRUC-SOFIA2L,Bộ trục in ống đồng sửa mẫu Sofia 2L,Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,TRUC-SOFIA2L,750,484,2,Kho Vạn Phát
NVL-00001,Cuộn màng PE sữa khổ 700mm dày 160mic,PE sữa,160,700,0,0,0,0,Không in,,,,0,0,0,
NVL-00002,Cuộn màng PE sữa khổ 700mm dày 190mic,PE sữa,190,700,0,0,0,0,Không in,,,,0,0,0,
NVL-00003,Cuộn màng PE sữa khổ 740mm dày 190mic,PE sữa,190,740,0,0,0,0,Không in,,,,0,0,0,
NVL-00004,Cuộn màng PE sữa khổ 750mm dày 190mic,PE sữa,190,750,0,0,0,0,Không in,,,,0,0,0,
NVL-00005,Cuộn màng PE sữa khổ 740mm dày 50mic,PE sữa,50,740,0,0,0,0,Không in,,,,0,0,0,
NVL-00006,Cuộn màng PA khổ 700mm dày 15mic,PA,15,700,0,0,0,0,Không in,,,,0,0,0,
NVL-00007,Cuộn màng PA khổ 740mm dày 15mic,PA,15,740,0,0,0,0,Không in,,,,0,0,0,
NVL-00008,Cuộn màng PA khổ 760mm dày 15mic,PA,15,760,0,0,0,0,Không in,,,,0,0,0,
NVL-00009,Cuộn màng PA khổ 800mm dày 15mic,PA,15,800,0,0,0,0,Không in,,,,0,0,0,
NVL-00010,Cuộn màng PA khổ 380mm dày 15mic,PA,15,380,0,0,0,0,Không in,,,,0,0,0,
NVL-00011,Cuộn màng PET khổ 560mm dày 12mic,PET,12,560,0,0,0,0,Không in,,,,0,0,0,
NVL-00012,Cuộn màng PET khổ 610mm dày 12mic,PET,12,610,0,0,0,0,Không in,,,,0,0,0,
NVL-00013,Cuộn màng PET khổ 700mm dày 12mic,PET,12,700,0,0,0,0,Không in,,,,0,0,0,
NVL-00014,Cuộn màng PET khổ 740mm dày 12mic,PET,12,740,0,0,0,0,Không in,,,,0,0,0,
NVL-00015,Cuộn màng PET khổ 800mm dày 12mic,PET,12,800,0,0,0,0,Không in,,,,0,0,0,
NVL-00016,Cuộn màng PET khổ 790mm dày 190mic,PET,190,790,0,0,0,0,Không in,,,,0,0,0,
NVL-00017,Cuộn màng MPET khổ 540mm dày 12mic,MPET,12,540,0,0,0,0,Không in,,,,0,0,0,
NVL-00018,Cuộn màng MPET khổ 800mm dày 12mic,MPET,12,800,0,0,0,0,Không in,,,,0,0,0,
NVL-00019,Cuộn màng nhôm AL khổ 560mm dày 6mic,AL,6,560,0,0,0,0,Không in,,,,0,0,0,
NVL-00020,Cuộn màng PE trong khổ 720mm dày 70mic,PE trong,70,720,0,0,0,0,Không in,,,,0,0,0,
NVL-00021,Cuộn màng PE trong khổ 660mm dày 75mic,PE trong,75,660,0,0,0,0,Không in,,,,0,0,0,
NVL-00022,Cuộn màng PE trong khổ 700mm dày 150mic,PE trong,150,700,0,0,0,0,Không in,,,,0,0,0,
NVL-00023,Cuộn màng OPP khổ 375mm dày 30mic,OPP,30,375,0,0,0,0,Không in,,,,0,0,0,
NVL-00024,Cuộn màng ngọc BOPP khổ 800mm dày 40mic,Pearlescent BOPP,40,800,0,0,0,0,Không in,,,,0,0,0,
NVL-00025,Keo ghép màng Polyurethane D-9700,Keo D-9700,0,0,0,0,0,0,Không in,,,,0,0,0,
NVL-00026,Chất đóng rắn keo ghép CL-3192K,CL-3192K,0,0,0,0,0,0,Không in,,,,0,0,0,
NVL-00027,Dung môi công nghiệp Ethyl Acetate (EA),Ethyl Acetate,0,0,0,0,0,0,Không in,,,,0,0,0,
NVL-00028,Cuộn màng PET in ống đồng mẫu 888 Phấn Thơm khổ 800mm,PET in,12,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00029,Cuộn màng PET in ống đồng mẫu 888 Huyền Bí Xanh khổ 800mm,PET in,12,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00030,Cuộn màng PET in ống đồng mẫu 888 Đam Mê Đỏ khổ 800mm,PET in,12,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00031,Cuộn màng PET in ống đồng mẫu NGCS Đỏ - Tím khổ 800mm,PET in,12,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00032,Cuộn màng PET in ống đồng mẫu NGCS Hồng - Xanh khổ 800mm,PET in,12,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00033,Cuộn màng PET in ống đồng mẫu Minh Râu Tím khổ 780mm,PET in,12,780,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00034,Cuộn màng PET in ống đồng mẫu TopGia 2L khổ 750mm,PET in,12,750,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00035,Cuộn màng PET in ống đồng mẫu Softy 3L Nền Tím khổ 800mm,PET in,12,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00036,Cuộn màng PET in ống đồng FUTA Xanh mặt trước khổ 900mm,PET in,12,900,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00037,Cuộn màng PET in ống đồng FUTA Xanh mặt sau khổ 900mm,PET in,12,900,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00038,Cuộn màng PET in ống đồng FUTA Tím mặt trước khổ 900mm,PET in,12,900,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00039,Cuộn màng PET in ống đồng FUTA Tím mặt sau khổ 900mm,PET in,12,900,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00045,Cuộn màng PET in ống đồng mẫu BABA 3.6Kg khổ 800mm,PET in,12,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00046,Cuộn màng PET in ống đồng mẫu thực phẩm Năm Tàu khổ 800mm,PET in,12,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00047,Cuộn màng PET in ống đồng mẫu TopGia 1L Đắm Say khổ 750mm,PET in,12,750,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,PET//PA/PE sữa,230,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00002,Cuộn màng ghép PET/PA/PE 3 lớp 888 Huyền Bí Xanh khổ 800mm,PET//PA/PE sữa,230,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00003,Cuộn màng ghép PET/PA/PE 3 lớp 888 Đam Mê Đỏ khổ 800mm,PET//PA/PE sữa,230,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00004,Cuộn màng ghép PET/PA/PE 3 lớp NGCS Đỏ - Tím khổ 800mm,PET//PA/PE sữa,230,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00005,Cuộn màng ghép PET/PA/PE 3 lớp NGCS Hồng - Xanh khổ 800mm,PET//PA/PE sữa,230,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00006,Cuộn màng ghép PET/PA/PE 3 lớp Minh Râu Tím khổ 780mm,PET//PA/PE sữa,230,780,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00007,Cuộn màng ghép PET/PA/PE 3 lớp TopGia 2L khổ 750mm,PET/PA/PE,190,750,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00008,Cuộn màng ghép PET/PA/PE 3 lớp Softy 3L khổ 800mm,PET/PA/PE sữa,230,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00009,Cuộn màng ghép PET/PA/PE 3 lớp FUTA Xanh mặt trước khổ 900mm,PET//PA/PE sữa,230,900,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00010,Cuộn màng ghép PET/PA/PE 3 lớp FUTA Xanh mặt sau khổ 900mm,PET//PA/PE sữa,230,900,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00011,Cuộn màng ghép PET/PA/PE 3 lớp FUTA Tím mặt trước khổ 900mm,PET//PA/PE sữa,230,900,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00012,Cuộn màng ghép PET/PA/PE 3 lớp FUTA Tím mặt sau khổ 900mm,PET//PA/PE sữa,230,900,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00013,Cuộn màng ghép cắt đáy đứng túi 3.2Kg khổ 180mm,PET/PE sữa,150,180,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00014,Cuộn màng ghép 4 lớp BABA 3.6Kg khổ 800mm,PET/MPET/PA/PE sữa,230,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00015,Cuộn màng ghép thực phẩm Năm Tàu khổ 800mm,PET/PA/PE,200,800,0,0,0,0,In trục ống đồng,,,,0,0,0,
BTP-00016,Cuộn màng ghép TopGia 1L Đắm Say khổ 750mm,PET/PA/PE,190,750,0,0,0,0,In trục ống đồng,,,,0,0,0,
NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Nhựa PP/PE hoặc Carton,0,0,0,0,0,0,Không in,Vòi 16mm,,,0,0,0,
NVL-00041,Vòi nhựa đóng gói phi 10mm kèm nắp,Nhựa PP/PE hoặc Carton,0,0,0,0,0,0,Không in,Vòi 10mm,,,0,0,0,
NVL-00043,Cuộn dây khóa zipper dán nhiệt miệng túi,Nhựa PP/PE hoặc Carton,0,0,0,0,0,0,Không in,Khóa Zipper,,,0,0,0,
NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Nhựa PP/PE hoặc Carton,0,0,0,0,0,0,Không in,,,,0,0,0,
NVL-P01,Phế liệu màng nhựa PE sữa thu hồi từ xén biên,,0,0,0,0,0,0,Không in,,,,0,0,0,
NVL-P02,Phế liệu màng ghép phức hợp thu hồi,,0,0,0,0,0,0,Không in,,,,0,0,0,
