item_code,item_name,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location
TP-00009,Túi đựng nước giặt 888 0.6Kg có vòi (Màu Đỏ),PET//PA/PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4005877,,0,0,0,
TP-00010,Túi đựng nước lau sàn 888 0.6Kg có vòi,PET//PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4012417,,0,0,0,
TP-00011,Túi đựng nước rửa chén 888 0.6Kg có vòi,PET//PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4012418,,0,0,0,
TP-00012,Túi đựng nước giặt Minh Râu 3.2Kg có vòi (Màu Tím),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4005887,,0,0,0,
TP-00013,Túi đựng nước giặt Minh Râu 3.2Kg có vòi (Màu Hồng),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4005883,,0,0,0,
TP-00014,Túi đựng nước giặt xả Lamy 2Kg có vòi (Màu Vàng),PET/MPET/PA/LLDPE,200,580,240,320,45,320,In trục ống đồng,Vòi 16mm,,,0,0,0,
TP-00015,Túi đựng nước giặt xả Lamy 2Kg có vòi (Màu Xanh),PET/MPET/PA/LLDPE,200,580,240,320,45,320,In trục ống đồng,Vòi 16mm,,,0,0,0,
TP-00016,Túi đựng nước giặt BABA 3.6Kg có vòi,PET/MPET/PA/PE sữa,230,660,280,380,45,380,In trục ống đồng,Vòi 16mm,TRUC-BABA,,0,0,0,
TP-00017,Túi đựng keo dán gạch SUPERGEO 5L có vòi,PET/PA/PA/PE sữa,240,740,320,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-SUPERGEO,,0,0,0,
TP-00018,Túi đựng xốt phô mai KOVAA 200g có vòi,PET/PA/PES,150,400,150,220,45,220,In trục ống đồng,Vòi 10mm,,,0,0,0,
TP-00019,Túi màng bọc thực phẩm TopGia,PET/PE,80,500,200,300,45,300,In trục ống đồng,,,,0,0,0,
TP-00020,Túi đựng nước giặt TopGia 1L có vòi (Hoa Nắng),PET/PA/PE,190,460,180,250,45,250,In trục ống đồng,Vòi 16mm,TRUC-G4011425,,0,0,0,
TP-00021,Túi đựng nước giặt TopGia 1L có vòi (Đắm Say),PET/PA/PE,190,460,180,250,45,250,In trục ống đồng,Vòi 16mm,TRUC-G4011427,,0,0,0,
TP-00022,Túi đựng nước giặt Softy 3L có vòi (Nền Tím),PET/PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,,,0,0,0,
TP-00023,Túi đựng nước giặt Sachpoong 3.2Kg có vòi,PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4010806,,0,0,0,
TP-00024,Túi đựng nước giặt Sachpoong 0.6Kg có vòi,PET//PA/PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4010805,,0,0,0,
TP-00025,Túi đựng nước giặt Raptor Clean 0.6Kg có vòi,PET//PA/PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4010947,,0,0,0,
TP-00026,Túi đựng nước giặt Trần Quân 2Kg có vòi,PET//PA/PE sữa,210,580,240,300,45,300,In trục ống đồng,Vòi 16mm,TRUC-G4011409,,0,0,0,
TP-00027,Túi đựng nước giặt DPClean 0.6Kg có vòi,PET//PA/PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4011542,,0,0,0,
TP-00028,Túi đựng nước giặt Bluum 3Kg có vòi (Màu Đen),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4012179,,0,0,0,
TP-00029,Túi đựng nước giặt Bluum 3Kg có vòi (Màu Xanh),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4012178,,0,0,0,
TP-00030,Túi đựng nước giặt Premium 3.2Kg có vòi (Màu Tím),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4006905,,0,0,0,
TP-00031,Túi đựng nước giặt Premium 3.2Kg có vòi (Màu Đỏ),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4006924,,0,0,0,
TP-00032,Túi đựng nước giặt Yumi Care 3.6L có vòi,PET//PA/PE sữa,230,660,280,350,45,350,In trục ống đồng,Vòi 16mm,TRUC-G631383,,0,0,0,
TP-00033,Túi đựng nước giặt Sofia 3Kg có vòi (Hương LyLy),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4002697,,0,0,0,
TP-00034,Túi đựng nước giặt Clean 3.6L có vòi,PET//PA/PE sữa,230,660,280,350,45,350,In trục ống đồng,Vòi 16mm,TRUC-Z418556,,0,0,0,
TP-00035,Túi đựng nước giặt Clean 2L có vòi,PET//PA/PE sữa,210,580,240,300,45,300,In trục ống đồng,Vòi 16mm,TRUC-G630657,,0,0,0,
TP-00036,Túi đựng nước giặt Futa True 3Kg có vòi,PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4013050,,0,0,0,
TP-00037,Túi đựng nước giặt Chakari Louis 3.2Kg có vòi,PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4014585,,0,0,0,
TP-00038,Túi đựng nước giặt CHLOE'LY 2L có vòi,PET/MPET/PA/PE sữa,210,580,240,300,45,300,In trục ống đồng,Vòi 16mm,,,0,0,0,
TP-00039,Túi đựng hạt đậu dinh dưỡng SKX 16x23.5cm,OPPMalt/PE,160,420,160,235,45,235,In trục ống đồng,,TRUC-G652829,,0,0,0,
TP-00040,Túi đựng hạt nêm Enzy 900g có zipper,PET/AL/PE,150,600,250,300,45,300,In trục ống đồng,Khóa Zipper,TRUC-G4012180,,0,0,0,
TP-00041,Túi đựng hạt nêm Enzy 450g có zipper,PET/AL/PE,140,500,200,260,45,260,In trục ống đồng,Khóa Zipper,,,0,0,0,
TP-00042,Túi đựng hạt nêm Enzy 220g có zipper,PET/AL/PE,120,440,170,220,45,220,In trục ống đồng,Khóa Zipper,,,0,0,0,
TP-00043,Túi đựng gia vị rắc cơm vị hải sản Enzy 11x17cm,PET/AL/PE,100,320,110,170,45,170,In trục ống đồng,Khóa Zipper,,,0,0,0,
TP-00044,Túi đựng nước giặt Trang Uyên 2L có vòi,PET/PA/PE sữa,200,580,240,300,45,300,In offset (Không trục),Vòi 16mm,,,0,0,0,
TP-00045,Túi đựng nước giặt xả Sofia 2L có vòi (Hương Ngọc Lan),PET/PA/PE sữa,210,580,240,300,45,300,In trục ống đồng,Vòi 16mm,TRUC-SOFIA2L,,0,0,0,
TRUC-G4010806,Bộ trục in ống đồng Sachpoong 3.2Kg (G4010806),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4010806,800.0,564.0,0,Kho VẠN PHÁT
TRUC-G4010805,Bộ trục in ống đồng Sachpoong 0.6Kg (G4010805),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4010805,750.0,456.0,0,Kho VẠN PHÁT
TRUC-G4010947,Bộ trục in ống đồng Raptor Clean 0.6Kg (G4010947),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4010947,750.0,456.0,0,Kho VẠN PHÁT
TRUC-G4011425,Bộ trục in ống đồng Topgia Hoa Nắng (G4011425),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4011425,750.0,404.0,0,Kho KIẾN TÂM
TRUC-G4011427,Bộ trục in ống đồng Topgia Đắm Say (G4011427),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4011427,750.0,404.0,0,Kho KIẾN TÂM
TRUC-G4011409,Bộ trục in ống đồng Trần Quân 2Kg (G4011409),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4011409,750.0,484.0,0,Kho VẠN PHÁT
TRUC-G4011542,Bộ trục in ống đồng Dpclean 0.6Kg (G4011542),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4011542,750.0,456.0,0,Kho VẠN PHÁT
TRUC-G4006940,Bộ trục in ống đồng 888 3.2Kg Hương (G4006940),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006940,800.0,564.0,0,Kho KIẾN TÂM
TRUC-G4006961,Bộ trục in ống đồng 888 3.2Kg Hương (G4006961),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006961,800.0,564.0,0,Kho KIẾN TÂM
TRUC-G4006960,Bộ trục in ống đồng 888 3.2Kg Hương (G4006960),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006960,800.0,564.0,0,Kho VẠN PHÁT
