item_code,item_name,custom_alias,item_group,stock_uom,brand,default_material_request_type,standard_rate,min_order_qty,safety_stock,disabled,is_stock_item,is_sales_item,is_purchase_item,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location,description
TRUC-G4005887,TÚI NƯỚC GIẶT MINH RÂU 3.2KG TÍM,Trục NƯỚC GIẶT MINH RÂU 3.2KG TÍM,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005887,780,564,6,KIẾN TÂM,
TRUC-G4005883,TÚI NƯỚC GIẶT MINH RÂU 3.2KG HỒNG,Trục NƯỚC GIẶT MINH RÂU 3.2KG HỒNG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005883,780,564,6,KIẾN TÂM,
TRUC-G4012178,TÚI NƯỚC GIẶT BLUUM 3KG XANH,Trục NƯỚC GIẶT BLUUM 3KG XANH,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4012178,800,564,6,VẠN PHÁT,
TRUC-Z437761,TÚI YAOURT HOA HỒNG,Trục YAOURT HOA HỒNG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z437761,435,350,2,VẠN PHÁT,
TRUC-G4005877,TÚI NƯỚC GIẶT 888 0.6KG - ĐỎ,Trục 888 06kg Do,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005877,750,456,6,VẠN PHÁT,
TRUC-G4006655,TÚI NƯỚC GIẶT 888 0.6KG - TÍM,Trục 888 06kg Tim,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4006655,750,456,5,VẠN PHÁT,
TRUC-G4006660,TÚI NƯỚC GIẶT 888 0.6KG - HỒNG,Trục 888 06kg Hong,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4006660,750,456,5,VẠN PHÁT,
TRUC-G4005897,TÚI NƯỚC GIẶT 888 2KG - ĐỎ,Trục 888 2kg Do,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005897,750,484,5,VẠN PHÁT,
TRUC-G4005893,TÚI NƯỚC GIẶT 888 2KG - TÍM,Trục 888 2kg Tim,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005893,750,484,5,VẠN PHÁT,
TRUC-G4006677,TÚI NƯỚC GIẶT 888 2KG - HỒNG,Trục 888 2kg Hong,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4006677,750,484,5,VẠN PHÁT,
TRUC-G4006905,TÚI NƯỚC GIẶT PREMIUM 3.2KG TÍM,Trục NƯỚC GIẶT PREMIUM 3.2KG TÍM,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4006905,800,564,5,KIẾN TÂM,
TRUC-G4006924,TÚI NƯỚC GIẶT PREMIUM 3.2KG ĐỎ,Trục NƯỚC GIẶT PREMIUM 3.2KG ĐỎ,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4006924,800,564,5,VẠN PHÁT,
TRUC-Z417582,TÚI NƯỚC GIẶT MASA,Trục NƯỚC GIẶT MASA,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z417582,900,568,5,VẠN PHÁT,
TRUC-G631383,TÚI NƯỚC GIẶT YUMI CARE 3.6L,Trục NƯỚC GIẶT YUMI CARE 3.6L,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G631383,900,568,5,VẠN PHÁT,
