item_code,item_name,custom_alias,item_group,stock_uom,brand,default_material_request_type,standard_rate,min_order_qty,safety_stock,disabled,is_stock_item,is_sales_item,is_purchase_item,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location,description
TRUC-Z418260,TÚI DINH DƯỠNG ĂN KÈM NỀN VÀNG - TIỆT TRÙNG - KT 8.5*10.5CM),Trục DINH DƯỠNG ĂN KÈM NỀN VÀNG TIỆT TRÙNG KT 8.5*10.5CM),Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z418260,800,420,2,VẠN PHÁT,
TRUC-Z418425,CUỘN MÀNG KEM HƯƠNG VỊ KÝ ỨC HƯƠNG XƯA (4 MẪU/TRỤC - KT 13CM),Trục Cuộn MÀNG KEM HƯƠNG VỊ KÝ ỨC HƯƠNG XƯA,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z418425,750,440,9,VẠN PHÁT,
TRUC-Z435082,CUỘN MÀNG KEM HOA VÀNG - SOCOLA NHÚNG HẠT KHÔ (IN 5 MÀU - KHỔ 17CM),Trục Cuộn Kem Nhung Hat 17cm,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z435082,650,570,5,VẠN PHÁT,
TRUC-G652829,TÚI ĐỰNG HẠT ĐẬU DINH DƯỠNG ( TÚI ĐÁY ĐỨNG - ZIPPER - KT 16*23.5CM),Trục ĐỰNG HẠT ĐẬU DINH DƯỠNG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G652829,650,480,4,VẠN PHÁT,
TRUC-G493102,TÚI ĐỰNG BỘT ỚT 500G - SEOUL FOOD ( NỀN ĐỎ - 3 BIÊN - ZIPPER - KT 19*30CM),Trục Bot Ot Seoul Food 500g,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G493102,700,570,6,VẠN PHÁT,
TRUC-Z437240,TÚI CÀ PHÊ NẤM MEN 10G- NA COFFE (IN PHỦ MỜ -KT: 7.5*9CM),Trục Ca Phe Nam Men 10g,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z437240,700,450,7,VẠN PHÁT,
TRUC-Z433450,MÀNG BỘT NGỌT OSAKA HÀ GIANG FOOD 350G,Trục Màng BỘT NGỌT OSAKA HÀ GIANG FOOD 350G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z433450,700,430,6,VẠN PHÁT,
TRUC-Z433451,MÀNG BỘT NGỌT OSAKA HÀ GIANG FOOD 100G,Trục Màng BỘT NGỌT OSAKA HÀ GIANG FOOD 100G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z433451,650,435,6,VẠN PHÁT,
TRUC-Z433306,TÚI ĐỰNG THIẾT BỊ NHỰA KURU KURU HOOK 5KG,Trục ĐỰNG THIẾT BỊ NHỰA KURU KURU HOOK 5KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z433306,650,448,5,VẠN PHÁT,
TRUC-Z433449,MÀNG BỘT NGỌT OSAKA HÀ GIANG FOOD 1KG,Trục Màng BỘT NGỌT OSAKA HÀ GIANG FOOD 1KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z433449,650,500,6,VẠN PHÁT,
TRUC-Z416639,TÚI BÁNH MÌ SANWICH TONY THẾ HIỂN 420G,Trục BÁNH MÌ SANWICH TONY THẾ HIỂN 420G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z416639,1050,490,7,VẠN PHÁT,
TRUC-G4006649,TÚI PASSION 3.2KG HƯƠNG NƯỚC HOA CAO CẤP- HỒNG,Trục Passion Huong Nuoc Hoa Hong,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4006649,800,564,6,KIẾN TÂM,
TRUC-G4006653,TÚI PASSION 3.2KG HƯƠNG NƯỚC HOA ĐAM MÊ - VÀNG,Trục Passion Dam Me Vang,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4006653,800,564,6,KIẾN TÂM,
TRUC-G4012674,TÚI MÀNG BỌC THỰC PHẨM 300 PCS - TOP GIA ( NỀN XANH LÁ ),Trục MÀNG BỌC THỰC PHẨM 300 PCS TOP GIA,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4012674,750,730,6,KIẾN TÂM,
TRUC-S515739,TÚI XỐT PHÔ MAI 500G - TANZY,Trục Xot Pho Mai TANZY 500g,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,S515739,750,456,9,KIẾN TÂM,
TRUC-G4014162,TÚI NUI THIÊN LONG 200G,Trục NUI THIÊN LONG 200G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4014162,800,520,5,TRANG TÍN,
TRUC-G630618,TÚI CỒI SÒ ĐIỆP 1KG - JAPANESE FAVOURITE ( NỀN HỒNG),Trục Tui Coi So Diep Nhat 1kg,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630618,800,460,6,TRANG TÍN,
TRUC-00095,MÀNG KEM HOA VÀNG - DỪA NON ( IN 5 MÀU - KHỔ 17CM ),Trục Mang Kem Dua Non 17cm,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,,650,570,5,TRANG TÍN,
TRUC-G4014589,TÚI NƯỚC GIẶT HỒNG LOAN 2.5L,Trục NƯỚC GIẶT HỒNG LOAN 2.5L,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4014589,850,504,4,VẠN PHÁT,
TRUC-G4015277,TÚI NƯỚC GIẶT TOPGIA HUYỀN DIỆU 2L,Trục NƯỚC GIẶT TOPGIA HUYỀN DIỆU 2L,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4015277,820,464,8,VẠN PHÁT,
TRUC-G4015340,TÚI NƯỚC GIẶT TOPGIA ĐẮM SAY 1L - NEW,Trục NƯỚC GIẶT TOPGIA ĐẮM SAY 1L NEW,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4015340,750,404,6,KIẾN TÂM,
TRUC-G4016016,TÚI NƯỚC GIẶT THE GOOD WIFE 3.2L,Trục NƯỚC GIẶT THE GOOD WIFE 3.2L,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4016016,750,564,6,KIẾN TÂM,
TRUC-G4016051,TÚI NƯỚC GIẶT XẢ CÔ ÚT 3.2KG,Trục NƯỚC GIẶT XẢ CÔ ÚT 3.2KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4016051,750,564,6,KIẾN TÂM,
TRUC-G4007070,TÚI NƯỚC GIẶT PREMIUM GOLD 3L,Trục NƯỚC GIẶT PREMIUM GOLD 3L,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4007070,900,568,0,TRANG TÍN,
TRUC-G4016395,TÚI NƯỚC GIẶT XẢ MẸ CHỌN 3.2KG NỀN ĐEN,Trục NƯỚC GIẶT XẢ MẸ CHỌN 3.2KG NỀN ĐEN,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4016395,640,540,3,KIẾN TÂM,
TRUC-G4016394,TÚI NƯỚC GIẶT XẢ MẸ CHỌN 3.2KG NỀN XANH - TÍM,Trục NƯỚC GIẶT XẢ MẸ CHỌN 3.2KG NỀN XANH TÍM,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4016394,820,564,5,KIẾN TÂM,
TRUC-G4016428,TÚI HỒ TIÊU NHẬT QUẢNG TRỊ 500G,Trục HỒ TIÊU NHẬT QUẢNG TRỊ 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4016428,820,564,7,KIẾN TÂM,
TRUC-G4006662,TÚI NƯỚC RỬA CHÉN MIMO 1L - XANH,Trục NƯỚC RỬA CHÉN MIMO 1L XANH,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4006662,750,588,7,VẠN PHÁT,
TRUC-G4010678,TÚI NƯỚC GIẶT GOOD CARE 3.2KG,Trục NƯỚC GIẶT GOOD CARE 3.2KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4010678,750,564,5,VẠN PHÁT,
TRUC-G4044368,TÚI NƯỚC GIẶT AHA 3KG - NỀN TÍM,Trục Nuoc Giat Aha Tim 3kg,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4044368,900,526,5,TRANG TÍN,
TRUC-G4005957,TÚI XỐT ƯỚP NƯỚNG MẬT ONG 80G,Trục XỐT ƯỚP NƯỚNG MẬT ONG 80G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005957,750,475,6,VẠN PHÁT,
TRUC-G4005954,TÚI XỐT ƯỚP NƯỚNG BBQ 80G,Trục XỐT ƯỚP NƯỚNG BBQ 80G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005954,750,475,6,TRANG TÍN,
TRUC-G4005956,TÚI XỐT ƯỚP NƯỚNG NGŨ VỊ 80G,Trục XỐT ƯỚP NƯỚNG NGŨ VỊ 80G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005956,750,475,6,VẠN PHÁT,
TRUC-G4005955,TÚI XỐT KHO THỊT 80G,Trục XỐT KHO THỊT 80G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005955,750,475,6,TRANG TÍN,
TRUC-G4005953,TÚI XỐT KHO CÁ 80G,Trục XỐT KHO CÁ 80G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005953,750,475,8,TRANG TÍN,
TRUC-G4005948,TÚI GIA VỊ PHỞ BÒ 110G,Trục GIA VỊ PHỞ BÒ 110G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005948,750,400,8,VẠN PHÁT,
TRUC-G4005949,TÚI GIA VỊ BÒ KHO 110G,Trục GIA VỊ BÒ KHO 110G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005949,750,400,7,VẠN PHÁT,
TRUC-G4005950,TÚI GIA VỊ BÚN BÒ HUẾ 110G,Trục GIA VỊ BÚN BÒ HUẾ 110G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005950,750,400,6,VẠN PHÁT,
TRUC-G4005960,TÚI GIA VỊ LẨU THÁI 180G,Trục GIA VỊ LẨU THÁI 180G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005960,880,480,6,TRANG TÍN,
TRUC-G4005959,TÚI GIA VỊ LẨU HẢI SẢN 180G,Trục GIA VỊ LẨU HẢI SẢN 180G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005959,880,480,6,VẠN PHÁT,
TRUC-G4005958,TÚI GIA VỊ LẨU CHUA CAY 180G,Trục GIA VỊ LẨU CHUA CAY 180G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005958,880,480,8,VẠN PHÁT,
TRUC-G4012180,TÚI HẠT NÊM NỀN XANH + NỀN CAM,Trục Hạt Nêm Nền Xanh Nền Cam,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4012180,750,568,8,TRANG TÍN,
TRUC-G4010974,TÚI BÁNH HẠT ĐIỀU 200G (HÔNG),Trục BÁNH HẠT ĐIỀU 200G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4010974,750,524,7,TRANG TÍN,
TRUC-G4010966,TÚI BÁNH HẠT ĐIỀU VINAHE 200G ( THÂN),Trục BÁNH HẠT ĐIỀU VINAHE 200G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4010966,750,498,7,TRANG TÍN,
TRUC-G4010871,CUỘN BÁNH HẠT ĐIỀU VINAHE 11G,Trục Cuộn BÁNH HẠT ĐIỀU VINAHE 11G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4010871,750,500,7,TRANG TÍN,
TRUC-G4010794,CUỘN KEM HƯƠNG XƯA,Trục Cuộn KEM HƯƠNG XƯA,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4010794,750,440,9,TRANG TÍN,
TRUC-Z418225,TÚI NGX KO TÊN TÍM+ ĐỎ LỚN,Trục NGX Không Tên Tím Đỏ Lớn,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z418225,900,568,8,TUỆ NHI,
TRUC-Z418262,TÚI NGX KO TÊN XANH DƯƠNG + HỒNG LỚN,Trục NGX Không Tên Xanh Dương Hồng Lớn,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z418262,900,568,1,TUỆ NHI,
TRUC-Z418086,TÚI CHẢ RAM TÔM NGỌC LIÊN 420G (KT 14*29),Trục CHẢ RAM TÔM NGỌC LIÊN 420G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z418086,750,580,7,VẠN PHÁT,
TRUC-G629036,TÚI CÀ PHÊ LÂM NGAO 500G,Trục CÀ PHÊ LÂM NGAO 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G629036,900,600,6,VẠN PHÁT,
TRUC-G631656,"TÚI VIÊN SÚP HẢI SẢN , BÀO NGƯ, HẢI SÂM","Trục VIÊN SÚP HẢI SẢN , BÀO NGƯ, HẢI SÂM",Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G631656,900,600,7,VẠN PHÁT,
TRUC-G631662,"TÚI VIÊN SÚP HẢI SẢN , BÀO NGƯ, HẢI SÂM","Trục VIÊN SÚP HẢI SẢN , BÀO NGƯ, HẢI SÂM",Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G631662,900,600,1,VẠN PHÁT,
TRUC-G4005609,TÚI NƯỚC GIẶT XẢ PARIS 1KG,Trục NƯỚC GIẶT XẢ PARIS 1KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4005609,392,500,7,VẠN PHÁT,
TRUC-SB02240264,TÚI CHUỐI,Trục CHUỐI,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,SB02240264,670,470,5,VẠN PHÁT,
TRUC-G626324,CUỘN CÀ PHÊ MUỐI LONG ONE,Trục Cuộn CÀ PHÊ MUỐI LONG ONE,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G626324,900,450,6,VẠN PHÁT,
TRUC-G629613,TÚI ĐỰNG CƠM CHIÊN,Trục ĐỰNG CƠM CHIÊN,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G629613,900,510,6,VẠN PHÁT,
TRUC-Z416612,TÚI NƯỚC CỐT HỦ TIẾU + NƯỚC CỐT BÚN MẮM (2 MẪU / 1 BỘ) TRỤC CŨ,Trục Nước Cốt Hủ Tiếu Nước Cốt Bún Mắm Trục Cũ,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z416612,750,480,10,VẠN PHÁT,
TRUC-Z418465,TÚI NƯỚC GIẶT AHA 3KG - 2 MẪU /1 BỘ,Trục Nuoc Giat Aha 2 Mau,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z418465,800,526,7,VẠN PHÁT,
TRUC-Z433912,TÚI MÌ QUẢNG KHÔ HAPPINUT 480G,Trục MÌ QUẢNG KHÔ HAPPINUT 480G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z433912,750,500,9,VẠN PHÁT,
TRUC-G625648,TÚI CÀ PHÊ MUỐI,Trục CÀ PHÊ MUỐI,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G625648,800,550,3,VẠN PHÁT,
TRUC-G631570,TÚI MỒI CÂU T5-CÁ RÔ PHI BỂ,Trục Tui Moi Cau Ro Phi Be,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G631570,800,480,2,VẠN PHÁT,
TRUC-Z433914,TÚI BÁNH TRÁNG CUỐN ĐẠI LỘC HAPPINUT 500G,Trục BÁNH TRÁNG CUỐN ĐẠI LỘC HAPPINUT 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z433914,700,520,7,VẠN PHÁT,
TRUC-Z418580,TÚI NƯỚC GIẶT HPRO,Trục NƯỚC GIẶT HPRO,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z418580,900,546,5,VẠN PHÁT,
TRUC-P96149,"TÚI ĐỰNG KEM APILO ( DỪA, DƯA GANG, ĐẬU XANH) - 3 MẪU /1 BỘ",Trục Kem Apilo 3 Mau,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,P96149,650,440,7,VẠN PHÁT,
TRUC-Z416634,TÚI NƯỚC CỐT BÒ KHO + NƯỚC CỐT BÚN RIÊU ( 2 MẪU/1 BỘ),Trục Nước Cốt Bò Kho Nước Cốt Bún Riêu,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z416634,750,480,8,VẠN PHÁT,
TRUC-G628405,TÚI LYLA EATS,Trục LYLA EATS,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G628405,800,435,8,VẠN PHÁT,
TRUC-G628206,MÀNG TIÊU ĐẠI PHÁT 15G,Trục Màng TIÊU ĐẠI PHÁT 15G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G628206,800,500,5,VẠN PHÁT,
TRUC-G4004063,TÚI NƯỚC GIẶT XẢ KHÔNG TÊN 2L ( NỀN ĐEN - CÔ GÁI + NỀN XANH DƯƠNG ĐẬM - HOA HỒNG - 2 MẪU/TRỤC - KT 24*30CM) 4 LỚP,Trục NƯỚC GIẶT XẢ KHÔNG TÊN 2L 4 LỚP,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4004063,850,486,8,VẠN PHÁT,
TRUC-G4004064,TÚI NƯỚC GIẶT XẢ KHÔNG TÊN 2L ( NỀN VÀNG - CÔ GÁI + NỀN TRẮNG - HOA HỒNG - 2 MẪU/TRỤC - KT 24*30CM) 4 LỚP,Trục NƯỚC GIẶT XẢ KHÔNG TÊN 2L 4 LỚP,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4004064,850,486,1,VẠN PHÁT,
TRUC-G4013050,NƯỚC GIẶT FUTA TRUE 3KG,NƯỚC GIẶT FUTA TRUE 3KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4013050,900,544,6,TRANG TÍN,
TRUC-G1005432,TÚI KEM HOA VÀNG VỊ SOCOLA 62G,Trục KEM HOA VÀNG VỊ SOCOLA 62G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G1005432,750,570,5,TRANG TÍN,
TRUC-G4014585,TÚI NƯỚC GIẶT XẢ CHAKARI - LOUIS - 12H PREMIUM 3.2KG,Trục NƯỚC GIẶT XẢ CHAKARI LOUIS 12H PREMIUM 3.2KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4014585,850,846,7,TRANG TÍN,
TRUC-G628218,TÚI MÀNG HẠT CHIA,Trục MÀNG HẠT CHIA,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G628218,0,0,5,TRANG TÍN,
TRUC-00151,TÚI NƯỚC GIẶT LUCKY STAR,Trục NƯỚC GIẶT LUCKY STAR,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,,0,0,8,VẠN PHÁT,
TRUC-G3000042,TÚI THỨC ĂN CHÓ MÈO 60G ALPHA,Trục THỨC ĂN CHÓ MÈO 60G ALPHA,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G3000042,800,720,9,VẠN PHÁT,
TRUC-E180920,TÚI THỨC ĂN CHÓ MÈO 60G ALPHA,Trục THỨC ĂN CHÓ MÈO 60G ALPHA,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,E180920,860,486,6,TRANG TÍN,
TRUC-G496512G8,TÚI CÂY ĐÀN,Trục CÂY ĐÀN,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G496512G8,300,485,1,TUỆ NHI,
TRUC-G3000042-TRAKHACH,TÚI THỨC ĂN CHÓ MÈO 60G ALPHA,Trục THỨC ĂN CHÓ MÈO 60G ALPHA,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G3000042,800,720,9,Đã trả lại khách,
TP-00001,TÚI NƯỚC GIẶT TÍM 1L HƯƠNG ĐẮM SAY,Kovaa Tím 1L Đắm Say,Túi Màng Ghép Đặt Riêng,Túi,KOVAA,Manufacture,3241,0,0,0,1,1,0,,220,0,200,280,55,0,In trục ống đồng,Vòi 16mm,,,0,0,0,,
TP-00002,TÚI NƯỚC GIẶT HỒNG 1L HƯƠNG HOA NẮNG,Kovaa Hồng 1L Hoa Nắng,Túi Màng Ghép Đặt Riêng,Túi,KOVAA,Manufacture,3241,0,0,0,1,1,0,,220,0,200,280,55,0,In trục ống đồng,Vòi 16mm,,,0,0,0,,
TP-00003,TÚI NƯỚC GIẶT ĐA SẮC 2L,Kovaa Đa Sắc 2L,Túi Màng Ghép Đặt Riêng,Túi,KOVAA,Manufacture,4028,0,0,0,1,1,0,PET/PA/PES,220,0,230,310,55,0,In trục ống đồng,Vòi 16mm,,,0,0,0,,
TP-00004,TÚI SAMRAN INS,Samran Ins,Túi Màng Ghép Đặt Riêng,Túi,SAMRAN,Manufacture,852,0,0,0,1,1,0,OPP/CPP,55,0,200,310,0,0,In trục ống đồng,Hàn kín,,,0,0,0,,
TP-00005,TÚI SAMRAN I4-S IN 3 MÀU,Samran I4 S,Túi Màng Ghép Đặt Riêng,Túi,SAMRAN,Manufacture,78704,0,0,0,1,1,0,,30,0,165,190,0,0,In trục ống đồng,Hàn kín,,,0,0,0,,
NVL-00009,Màng PET in 888 Phấn Thơm (PETIN A01),PET In 888 Phấn Thơm,Màng In Ống Đồng,m,,Manufacture,2582,0,0,0,1,0,0,,12,0,0,0,0,0,In trục ống đồng,,,,,0,0,,
NVL-00012,Keo ghép D-9700 (F05),Keo D 9700,Hóa Chất & Keo Ghép,Kg,,Purchase,76680,0,0,0,1,0,1,,0,0,0,0,0,0,Không in,,,,,0,0,,
NVL-00013,Chất đóng rắn CL-3192K (F06),Dong Ran CL 3192k,Hóa Chất & Keo Ghép,Kg,,Purchase,76680,0,0,0,1,0,1,,0,0,0,0,0,0,Không in,,,,,0,0,,
NVL-00014,Dung môi EA (F09),Dung Môi EA,Hóa Chất & Keo Ghép,Kg,,Purchase,29280,0,0,0,1,0,1,,0,0,0,0,0,0,Không in,,,,,0,0,,
NVL-00015,Nắp vòi TQ 16mm (F02),Vòi 16mm,Phụ Kiện Bao Bì,Cái,,Purchase,490,0,0,0,1,0,1,,0,0,0,0,0,0,Không in,Vòi 16mm,,,,0,0,,
NVL-00016,Nắp vòi TQ 10mm (F03),Vòi 10mm,Phụ Kiện Bao Bì,Cái,,Purchase,0,0,0,0,1,0,1,,0,0,0,0,0,0,Không in,Vòi 10mm,,,,0,0,,
NVL-00017,Thùng carton không in (F04),Thùng Không In,Phụ Kiện Bao Bì,Cái,,Purchase,20030,0,0,0,1,0,1,,0,0,0,0,0,0,Không in,,,,,0,0,,
NGCS-00001,TÚI NGCS LOẠI LỚN ĐỎ ĐAM MÊ,NGCS Lớn Đỏ,Túi Nước Giặt Có Sẵn (NGCS),Túi,,Manufacture,0,0,0,0,1,1,0,,0,0,0,0,0,0,In lụa,Vòi 16mm,,,0,0,0,,
NGCS-00002,TÚI NGCS LOẠI LỚN ĐEN ĐAM MÊ,NGCS Lớn Đen,Túi Nước Giặt Có Sẵn (NGCS),Túi,,Manufacture,0,0,0,0,1,1,0,,0,0,0,0,0,0,In lụa,Vòi 16mm,,,0,0,0,,
NGCS-00003,TÚI NGCS LOẠI LỚN VÀNG QUYẾN RŨ,NGCS Lớn Vàng,Túi Nước Giặt Có Sẵn (NGCS),Túi,,Manufacture,0,0,0,0,1,1,0,,0,0,0,0,0,0,In lụa,Vòi 16mm,,,0,0,0,,
NGCS-00004,TÚI NGCS LOẠI LỚN HỒNG ĐAM MÊ,NGCS Lớn Hồng,Túi Nước Giặt Có Sẵn (NGCS),Túi,,Manufacture,0,0,0,0,1,1,0,,0,0,0,0,0,0,In lụa,Vòi 16mm,,,0,0,0,,
