bom_no,item,item_name,quantity,uom,is_active,is_default,process_loss_percentage,operations,description
BOM-TP-00005-001,TP-00005,Túi đựng nước giặt 888 2Kg có vòi (Màu Tím),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi 888 2Kg Tím (Bước cắt 480.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00006-001,TP-00006,Túi đựng nước giặt 888 2Kg có vòi (Màu Đỏ),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi 888 2Kg Đỏ (Bước cắt 480.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00007-001,TP-00007,Túi đựng nước giặt 888 0.6Kg có vòi (Màu Hồng),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi 888 0.6Kg Hồng (Bước cắt 340.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00008-001,TP-00008,Túi đựng nước giặt 888 0.6Kg có vòi (Màu Tím),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi 888 0.6Kg Tím (Bước cắt 340.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00009-001,TP-00009,Túi đựng nước giặt 888 0.6Kg có vòi (Màu Đỏ),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi 888 0.6Kg Đỏ (Bước cắt 340.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00010-001,TP-00010,Túi đựng nước lau sàn 888 0.6Kg có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi NLS 888 0.6Kg (Bước cắt 340.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00011-001,TP-00011,Túi đựng nước rửa chén 888 0.6Kg có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi NRC 888 0.6Kg (Bước cắt 340.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00012-001,TP-00012,Túi đựng nước giặt Minh Râu 3.2Kg có vòi (Màu Tím),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Minh Râu 3.2Kg Tím (Bước cắt 564.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00013-001,TP-00013,Túi đựng nước giặt Minh Râu 3.2Kg có vòi (Màu Hồng),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Minh Râu 3.2Kg Hồng (Bước cắt 564.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00014-001,TP-00014,Túi đựng nước giặt xả Lamy 2Kg có vòi (Màu Vàng),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Lamy 2Kg Vàng (Bước cắt 480.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00015-001,TP-00015,Túi đựng nước giặt xả Lamy 2Kg có vòi (Màu Xanh),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Lamy 2Kg Xanh (Bước cắt 480.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00016-001,TP-00016,Túi đựng nước giặt BABA 3.6Kg có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi BABA 3.6Kg (Bước cắt 580.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00017-001,TP-00017,Túi đựng keo dán gạch SUPERGEO 5L có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Supergeo 5L (Bước cắt 600.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00019-001,TP-00019,Túi màng bọc thực phẩm TopGia,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01),"Định mức sản xuất 1.000 túi TopGia MBTP (Bước cắt 480.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00020-001,TP-00020,Túi đựng nước giặt TopGia 1L có vòi (Hoa Nắng),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi TopGia 1L Hoa Nắng (Bước cắt 420.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00021-001,TP-00021,Túi đựng nước giặt TopGia 1L có vòi (Đắm Say),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi TopGia 1L Đắm Say (Bước cắt 420.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00022-001,TP-00022,Túi đựng nước giặt Softy 3L có vòi (Nền Tím),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Softy 3L Tím (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00023-001,TP-00023,Túi đựng nước giặt Sachpoong 3.2Kg có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Sachpoong 3.2Kg (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00024-001,TP-00024,Túi đựng nước giặt Sachpoong 0.6Kg có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Sachpoong 0.6Kg (Bước cắt 340.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00025-001,TP-00025,Túi đựng nước giặt Raptor Clean 0.6Kg có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Raptor Clean 0.6Kg (Bước cắt 340.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00026-001,TP-00026,Túi đựng nước giặt Trần Quân 2Kg có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Trần Quân 2Kg (Bước cắt 480.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00027-001,TP-00027,Túi đựng nước giặt DPClean 0.6Kg có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi DPClean 0.6Kg (Bước cắt 340.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00028-001,TP-00028,Túi đựng nước giặt Bluum 3Kg có vòi (Màu Đen),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Bluum 3Kg Đen (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00029-001,TP-00029,Túi đựng nước giặt Bluum 3Kg có vòi (Màu Xanh),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Bluum 3Kg Xanh (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00030-001,TP-00030,Túi đựng nước giặt Premium 3.2Kg có vòi (Màu Tím),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Premium 3.2Kg Tím (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00031-001,TP-00031,Túi đựng nước giặt Premium 3.2Kg có vòi (Màu Đỏ),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Premium 3.2Kg Đỏ (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00032-001,TP-00032,Túi đựng nước giặt Yumi Care 3.6L có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Yumi Care 3.6L (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00033-001,TP-00033,Túi đựng nước giặt Sofia 3Kg có vòi (Hương LyLy),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Sofia 3Kg Xanh (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00034-001,TP-00034,Túi đựng nước giặt Clean 3.6L có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Clean 3.6L (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00035-001,TP-00035,Túi đựng nước giặt Clean 2L có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Clean 2L (Bước cắt 480.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00036-001,TP-00036,Túi đựng nước giặt Futa True 3Kg có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Futa True 3Kg (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00037-001,TP-00037,Túi đựng nước giặt Chakari Louis 3.2Kg có vòi,1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Chakari Louis 3.2Kg (Bước cắt 560.0mm, 2 lane, hao hụt 2.5%)."
BOM-TP-00045-001,TP-00045,Túi đựng nước giặt xả Sofia 2L có vòi (Hương Ngọc Lan),1000.0,Túi,1,1,2.5,Cắt Dán Túi (WS-CAT-01) -> Đóng Vòi Hàn Nhiệt (WS-VOI-01),"Định mức sản xuất 1.000 túi Sofia 2L Ngọc Lan (Bước cắt 480.0mm, 2 lane, hao hụt 2.5%)."
BOM-BTP-00017-001,BTP-00017,Cuộn màng ghép PET/PA/PE sữa Sofia 2L Ngọc Lan khổ 800mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn Sofia 2L (Khổ 800mm, 3 lớp, hao hụt ghép 2.0%)."
